Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2024-09-12,221.1124725341797,422.0630798339844,153.8018798828125,187.0,229.80999755859375
2024-09-13,220.84446716308594,425.611572265625,156.55596923828125,186.49000549316406,230.2899932861328
2024-09-16,214.71047973632812,426.3529357910156,157.1525115966797,184.88999938964844,226.77999877929688
2024-09-17,215.17697143554688,430.1188659667969,158.40530395507812,186.8800048828125,227.8699951171875
2024-09-18,219.04795837402344,425.82904052734375,158.8924560546875,186.42999267578125,227.1999969482422
2024-09-19,227.16708374023438,433.61798095703125,161.20907592773438,189.8699951171875,243.9199981689453
2024-09-20,226.5020751953125,430.23748779296875,162.65078735351562,191.60000610351562,238.25
2024-09-23,224.7849578857422,428.49786376953125,160.9207763671875,193.8800048828125,250.0
2024-09-24,225.67825317382812,424.2080383300781,161.35821533203125,193.9600067138672,254.27000427246094
2024-09-25,224.68569946289062,427.114013671875,160.5628204345703,192.52999877929688,257.0199890136719
2024-09-26,225.8271484375,426.3232421875,161.7957000732422,191.16000366210938,254.22000122070312
2024-09-27,226.09510803222656,423.0712890625,163.00868225097656,187.97000122070312,260.4599914550781
2024-09-30,231.266357421875,425.3249206542969,164.89779663085938,186.3300018310547,261.6300048828125
2024-10-01,224.52688598632812,415.8260803222656,166.03125,185.1300048828125,258.0199890136719
2024-10-02,225.09263610839844,412.30718994140625,164.90774536132812,184.75999450683594,249.02000427246094
2024-10-03,223.9908905029297,411.72406005859375,164.90774536132812,181.9600067138672,240.66000366210938
2024-10-04,225.11248779296875,411.24957275390625,166.10086059570312,186.50999450683594,250.0800018310547
2024-10-07,220.04052734375,404.8049621582031,162.0442657470703,180.8000030517578,240.8300018310547
2024-10-08,224.0901641845703,409.9151916503906,163.4362335205078,182.72000122070312,244.5
2024-10-09,227.8321075439453,412.63336181640625,160.93067932128906,185.1699981689453,241.0500030517578
2024-10-10,227.33583068847656,411.0320739746094,161.14944458007812,186.64999389648438,238.77000427246094
2024-10-11,225.85691833496094,411.5065612792969,162.30279541015625,188.82000732421875,217.8000030517578
2024-10-14,229.57901000976562,414.2939453125,164.01290893554688,187.5399932861328,219.16000366210938
2024-10-15,232.1100311279297,413.8985900878906,164.5100555419922,187.69000244140625,219.57000732421875
2024-10-16,230.055419921875,411.308837890625,164.21177673339844,186.88999938964844,221.3300018310547
2024-10-17,230.4226837158203,411.9019470214844,161.9945526123047,187.52999877929688,220.88999938964844
2024-10-18,233.25146484375,413.3252868652344,162.4817352294922,188.99000549316406,220.6999969482422
2024-10-21,234.720458984375,413.9381103515625,163.12802124023438,189.07000732421875,218.85000610351562
2024-10-22,234.1051025390625,422.5672302246094,164.19186401367188,189.6999969482422,217.97000122070312
2024-10-23,229.0430145263672,419.69085693359375,161.8454132080078,184.7100067138672,213.64999389648438
2024-10-24,228.85446166992188,419.8193359375,161.78578186035156,186.3800048828125,260.4800109863281
2024-10-25,229.68820190429688,423.1997985839844,164.32113647460938,187.8300018310547,269.19000244140625
2024-10-28,231.6633758544922,421.6578369140625,165.76278686523438,188.38999938964844,262.510009765625
2024-10-29,231.93138122558594,426.95587158203125,168.70578002929688,190.8300018310547,259.5199890136719
2024-10-30,228.387939453125,427.5291442871094,173.45834350585938,192.72999572753906,257.54998779296875
2024-10-31,224.2291259765625,401.65185546875,170.12759399414062,186.39999389648438,249.85000610351562
2024-11-01,221.25143432617188,405.6253356933594,170.30654907226562,197.92999267578125,248.97999572753906
2024-11-04,220.3581085205078,403.7373962402344,168.26832580566406,195.77999877929688,242.83999633789062
2024-11-05,221.78741455078125,406.7027587890625,168.7654571533203,199.5,251.44000244140625
2024-11-06,221.06283569335938,415.3218994140625,175.49658203125,207.08999633789062,288.5299987792969
2024-11-07,225.78741455078125,420.51123046875,179.71224975585938,210.0500030517578,296.9100036621094
2024-11-08,225.51914978027344,417.6546630859375,177.32601928710938,208.17999267578125,321.2200012207031
2024-11-11,222.80645751953125,413.177001953125,179.31455993652344,206.83999633789062,350.0
2024-11-12,222.80645751953125,418.13897705078125,180.57725524902344,208.91000366210938,328.489990234375
2024-11-13,223.69082641601562,420.2839050292969,177.8529815673828,214.10000610351562,330.239990234375
2024-11-14,226.7711639404297,421.954345703125,174.57192993164062,211.47999572753906,311.17999267578125
2024-11-15,223.57159423828125,410.2018127441406,171.4996795654297,202.61000061035156,320.7200012207031
2024-11-18,226.5724334716797,410.95306396484375,174.2935333251953,201.6999969482422,338.739990234375
2024-11-19,226.83074951171875,412.9595947265625,177.09732055664062,204.61000061035156,346.0
2024-11-20,227.5461883544922,410.6861572265625,174.9696044921875,202.8800048828125,342.0299987792969
2024-11-21,227.06927490234375,408.913330078125,166.66757202148438,198.3800048828125,339.6400146484375
2024-11-22,228.41067504882812,413.00372314453125,163.81405639648438,197.1199951171875,352.55999755859375
2024-11-25,231.39163208007812,414.7765808105469,166.6874542236328,201.4499969482422,338.5899963378906
2024-11-26,233.56771850585938,423.888427734375,168.14901733398438,207.86000061035156,338.2300109863281
2024-11-27,233.43853759765625,418.93634033203125,168.25839233398438,205.74000549316406,332.8900146484375
2024-11-29,235.8233184814453,419.40185546875,167.97998046875,207.88999938964844,345.1600036621094
2024-12-02,238.06895446777344,426.84979248046875,170.50543212890625,210.7100067138672,357.0899963378906
2024-12-03,241.10952758789062,427.0676574707031,170.35629272460938,213.44000244140625,351.4200134277344
2024-12-04,241.4672393798828,433.2280578613281,173.36886596679688,218.16000366210938,357.92999267578125
2024-12-05,241.49705505371094,438.3782043457031,171.64883422851562,220.5500030517578,369.489990234375
2024-12-06,241.29830932617188,439.319091796875,173.7069549560547,227.02999877929688,389.2200012207031
2024-12-09,245.1835174560547,441.7456359863281,174.56295776367188,226.08999633789062,389.7900085449219
2024-12-10,246.19705200195312,439.0813903808594,184.31787109375,225.0399932861328,400.989990234375
2024-12-11,244.92515563964844,444.6871643066406,194.50079345703125,230.25999450683594,424.7699890136719
2024-12-12,246.38584899902344,445.2516784667969,191.07664489746094,228.97000122070312,418.1000061035156
2024-12-13,246.55474853515625,442.9836120605469,188.9464569091797,227.4600067138672,436.2300109863281
2024-12-16,249.44627380371094,447.26226806640625,195.75498962402344,232.92999267578125,463.0199890136719
2024-12-17,251.8707733154297,450.104736328125,194.52069091796875,231.14999389648438,479.8599853515625
2024-12-18,246.4752655029297,433.1983337402344,187.5330047607422,220.52000427246094,440.1300048828125
2024-12-19,248.20419311523438,432.8417663574219,187.6425018310547,223.2899932861328,436.1700134277344
2024-12-20,252.87437438964844,432.41595458984375,190.52914428710938,224.9199981689453,421.05999755859375
2024-12-23,253.64944458007812,431.078857421875,193.73434448242188,225.05999755859375,430.6000061035156
2024-12-24,256.56085205078125,435.11968994140625,195.20753479003906,229.0500030517578,462.2799987792969
2024-12-26,257.3756103515625,433.91143798828125,194.6998748779297,227.0500030517578,454.1300048828125
2024-12-27,253.96739196777344,426.4040832519531,191.8729248046875,223.75,431.6600036621094
2024-12-30,250.59890747070312,420.7586669921875,190.35995483398438,221.3000030517578,417.4100036621094
2024-12-31,248.83021545410156,417.46063232421875,188.42886352539062,219.38999938964844,403.8399963378906
